0,"Piccadilly Grand
",CDL / MCL,Mixed Development,407,TBC,Northumberland Rd,D08 - Farrer Park / Serangoon Road,Singapore,99 Years,0
0,"Royal Hallmark
",H Homes Pte Ltd,Residential Lowrise,32,Nov 2025,1 Haig Lane,D15 - East Coast / Marine Parade,Singapore,Freehold,32
0,"The Arden 雅诗轩
",CNQC REALTY (PHOENIX) PTE LTD,Residential Lowrise,105,TBC,24 Phoenix Rd,D23 - Bukit Batok / Bukit Panjang,Singapore,99 Years,0
0,"North Gaia
",Sing Holdings,Executive Condominium,616,TBC,Yishun Close,D27 - Sembawang / Yishun,Singapore,99 Years,0
0,"Belgravia Ace
",FAIRVIEW DEVELOPMENTS PTE LTD,Residential Landed,104 Semi-D + 3 Terraces,Jan 2028,Belgravia Drive,D28 - Seletar / Yio Chu Kang,Showflat on site,Singapore,Freehold,11
0,"Perfect Ten
",Japura Development Pte Ltd,Residential Highrise,230,Q4 2025,321 Bukit Timah Rd,D10 - Tanglin / Holland,Showflat on site,Singapore,Freehold,99
0,"Mori
",RL East Pte. Ltd,Residential Highrise,137,Dec 2026,223 Guillemard Rd,D14 - Eunos / Geylang / Paya Lebar,Showflat along Geylang Rd,Singapore,Freehold,56
0,"Canninghill Piers 康宁河湾
",Legend Quay Pte Ltd (CDL & Capitaland),Mixed Developments,696,H2 2025,Clarke Quay,D06 - City Hall / Clarke Quay,Showflat location,Singapore,99 Years,30 June 2027,108
0,"Jervois Mansion 卓苑
",Kimen Realty Pte Ltd,Residential Lowrise,130,Dec 2026,4 JERVOIS CLOSE,D10 - Tanglin / Holland,Showflat @ 50 Prince Charles Sq,Singapore,Freehold,0
0,"SPACE 21
",JVA KATONG PTE LTD,Industrial B1,20,Jun 2023,51 Lorong 21 Geylang,D14 - Eunos / Geylang / Paya Lebar,Singapore,Freehold,11
0,"Parc Greenwich
",Fernvale Lane Pte Ltd,Executive Condominium,496,Jun 2026,31 Fernvale Lane,D28 - Seletar / Yio Chu Kang,Showflat along Fernvale Rd,Singapore,99 years,38
0,"Bartley Vue
",Wee Hur (Bartley) Pte Ltd,Residential Highrise,115,Jul 2026,"6,8 Jalan Bunga Rampai",D19 - Hougang / Punggol / Sengkang,Showflat along Paya Lebar Rd,Singapore,99 Years,"ERA, SRI",78
0,"Klimt Cairnhill 康邻豪庭
",Low Keng Huat,Residential Highrise,138,Oct 2025,71 Cairnhill Rd,D09 - Orchard / River Valley,Showflat along Leonie Hill,Singapore,Freehold,135
